"ama"
"aso"
"ate"
"babae"
"bata"
"Diyos"
"guro"
"ina"
"kaibigan"
"kasapi"
"kuya"
"lalake"
"magulang"
"mangangalakal"
"pusa"
"tao"
"tatay"
